777,220,981,490
1014,328,1265,662
374,258,670,649
1169,149,1226,239
0,145,18,176
1065,210,1237,480
19,136,49,177
1121,212,1237,337
997,97,1045,199
566,62,594,126
188,109,259,251
701,82,761,162
965,68,1009,154
270,100,320,169
309,101,396,190
1034,72,1082,184
1100,175,1187,283
37,131,70,197
751,90,824,217
1099,127,1155,215
778,545,1116,718
988,181,1105,399
398,64,453,191
517,82,601,219
1020,326,1265,663
776,220,980,490
373,258,670,646
1115,214,1239,340
0,145,19,175
1167,149,1233,237
20,136,49,176
1000,97,1046,197
966,68,1010,157
308,101,396,188
188,108,259,250
566,63,594,126
268,95,317,170
1035,73,1083,180
699,82,761,171
1067,212,1239,468
37,131,70,197
1099,129,1158,214
752,89,825,217
1103,173,1185,277
776,548,1114,719
398,65,453,192
988,180,1105,410
516,81,601,218
373,257,669,644
777,220,980,490
1021,328,1265,662
20,136,48,177
1167,147,1223,234
979,99,1053,208
311,101,396,186
188,109,259,250
268,95,317,165
561,63,593,127
1037,73,1084,161
967,69,1016,158
1117,217,1239,341
37,132,70,197
702,82,763,172
1097,133,1152,215
1102,171,1184,272
757,89,827,216
774,546,1112,719
398,64,453,192
514,80,598,215
988,180,1105,409
777,218,981,490
374,258,670,646
1051,331,1266,662
20,136,48,176
1119,212,1239,340
1167,147,1230,235
1065,208,1237,485
187,101,260,251
965,69,1014,155
309,102,396,184
962,97,1053,215
37,132,70,197
268,95,315,170
561,62,594,126
1037,72,1085,165
1099,129,1157,214
1103,171,1186,281
708,82,763,170
760,90,829,216
775,547,1111,719
398,64,453,192
988,179,1103,406
513,80,589,214
1041,323,1273,664
374,257,670,640
778,219,981,490
1168,148,1232,228
19,136,47,177
187,104,259,252
965,68,1012,154
310,102,396,183
969,100,1053,217
1117,210,1239,347
268,95,314,167
562,62,594,126
1037,72,1084,168
759,89,829,217
1100,129,1156,213
708,82,764,170
1104,170,1186,288
398,65,454,192
37,127,70,197
985,182,1111,407
776,547,1107,718
514,79,585,213
373,258,669,630
1032,332,1278,665
782,221,982,489
1057,210,1235,494
20,136,47,176
1120,212,1239,347
309,102,396,184
189,101,259,252
564,63,594,128
973,101,1053,212
401,70,453,187
273,95,315,170
1037,72,1082,164
761,89,829,217
956,59,1014,154
1098,129,1154,215
708,82,763,169
1103,170,1186,275
37,127,70,197
774,547,1110,719
984,181,1119,407
517,78,589,213
373,257,670,633
1034,332,1279,664
784,218,980,489
1120,211,1239,341
288,100,392,262
20,136,48,177
1063,208,1237,496
189,102,256,253
406,71,454,189
308,102,395,184
566,63,594,129
272,96,313,171
974,101,1052,211
1037,73,1082,170
710,83,763,169
761,89,827,217
1100,126,1153,214
1102,170,1186,287
777,544,1107,719
37,127,70,197
951,51,1015,157
988,179,1106,407
514,77,588,212
373,257,670,640
1032,326,1269,663
782,221,980,490
1121,211,1239,340
20,136,49,176
1055,209,1236,499
189,103,250,195
305,102,396,184
403,71,454,191
1040,73,1085,181
710,84,765,168
37,131,70,198
973,101,1052,211
272,96,313,170
1097,125,1154,214
756,88,828,218
1105,170,1186,290
952,49,1015,158
774,545,1104,720
985,181,1111,410
534,77,607,214
374,257,665,637
1030,329,1266,660
782,222,978,488
19,136,48,177
1122,212,1237,340
187,109,250,194
1063,209,1235,492
1040,73,1086,180
403,70,454,191
307,102,395,183
